                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89501,                 0.7127,                 1.2203,                0.98176,                0.97924,                 0.9895,                0.69577,                0.97829,                0.47299,                 1.3026,             0.00047367,             0.00047367,             0.00047367
                     36,                0.88119,                0.69466,                 1.2091,                0.98696,                0.97904,                0.98895,                0.67219,                 0.9927,                0.46657,                 1.3023,              0.0004666,              0.0004666,              0.0004666
                     37,                0.88556,                0.69148,                 1.2068,                0.97724,                0.97183,                0.99034,                0.66181,                 1.0953,                0.50049,                 1.3768,             0.00045953,             0.00045953,             0.00045953
                     38,                0.87385,                0.67859,                 1.2024,                0.98228,                0.97582,                0.99022,                 0.6677,                 1.0327,                0.47744,                 1.3252,             0.00045246,             0.00045246,             0.00045246
                     39,                0.87169,                0.68852,                 1.2013,                0.98488,                  0.986,                 0.9912,                0.72052,                0.92853,                0.44883,                 1.2421,             0.00044539,             0.00044539,             0.00044539
                     40,                0.86989,                 0.6838,                    1.2,                0.98007,                0.97264,                0.99013,                 0.7051,                0.96481,                0.46356,                 1.2879,             0.00043832,             0.00043832,             0.00043832
                     41,                0.85581,                0.67725,                 1.1908,                0.98191,                0.97938,                0.98967,                0.73013,                0.92273,                0.44455,                 1.2278,             0.00043126,             0.00043126,             0.00043126
                     42,                0.86401,                0.67062,                 1.1906,                0.97077,                0.98143,                0.98949,                 0.6813,                 1.0022,                0.46891,                 1.3112,             0.00042419,             0.00042419,             0.00042419
                     43,                0.86575,                0.67048,                 1.1986,                0.98499,                0.98125,                0.99107,                0.70386,                0.97749,                0.44945,                 1.2959,             0.00041712,             0.00041712,             0.00041712
                     44,                0.84763,                0.65428,                 1.1747,                0.98473,                0.98693,                0.99281,                0.71969,                0.93608,                0.42525,                 1.2445,             0.00041005,             0.00041005,             0.00041005
                     45,                0.84765,                0.64996,                 1.1813,                 0.9798,                0.97946,                0.99042,                0.69361,                0.99347,                 0.4561,                 1.2965,             0.00040298,             0.00040298,             0.00040298
                     46,                0.83857,                0.64779,                 1.1739,                 0.9859,                0.98284,                0.99169,                0.72684,                0.92179,                0.43182,                 1.2313,             0.00039591,             0.00039591,             0.00039591
                     47,                0.84098,                 0.6426,                 1.1748,                0.97729,                0.98137,                0.98911,                0.71154,                0.92692,                0.44326,                 1.2347,             0.00038884,             0.00038884,             0.00038884
                     48,                0.83567,                0.64261,                 1.1717,                0.98483,                0.98404,                0.99144,                0.71747,                0.94882,                0.43306,                 1.2534,             0.00038178,             0.00038178,             0.00038178
                     49,                0.82952,                 0.6258,                   1.16,                0.97966,                0.97949,                0.98769,                0.70821,                0.95522,                0.43381,                 1.2547,             0.00037471,             0.00037471,             0.00037471
                     50,                0.84051,                0.64225,                 1.1736,                0.98434,                0.98656,                0.99194,                0.71319,                0.97642,                0.42312,                 1.2677,             0.00036764,             0.00036764,             0.00036764
                     51,                0.83001,                0.63093,                 1.1661,                0.98389,                0.98321,                0.99033,                0.69741,                0.95419,                 0.4375,                 1.2633,             0.00036057,             0.00036057,             0.00036057
                     52,                0.81957,                0.63326,                 1.1636,                0.98162,                  0.986,                0.99205,                0.72415,                0.92681,                0.42838,                 1.2309,              0.0003535,              0.0003535,              0.0003535
                     53,                0.82192,                0.62455,                 1.1639,                0.98846,                0.98188,                0.99104,                0.72101,                0.93177,                0.42523,                 1.2251,             0.00034643,             0.00034643,             0.00034643
                     54,                  0.816,                0.61618,                 1.1544,                0.98969,                0.98295,                0.99229,                0.70259,                0.95757,                0.42487,                 1.2484,             0.00033936,             0.00033936,             0.00033936
                     55,                0.81213,                0.60942,                 1.1502,                0.98555,                0.98725,                0.99182,                0.70996,                0.93416,                0.43225,                 1.2406,              0.0003323,              0.0003323,              0.0003323
                     56,                 0.8011,                0.61531,                 1.1474,                0.98329,                0.98292,                0.99112,                0.72926,                0.91401,                0.42646,                 1.2163,             0.00032523,             0.00032523,             0.00032523
                     57,                0.81127,                0.61028,                 1.1514,                 0.9862,                0.98849,                 0.9912,                0.73842,                0.87261,                0.41968,                 1.1914,             0.00031816,             0.00031816,             0.00031816
                     58,                0.80137,                0.60842,                 1.1455,                0.98697,                0.98023,                0.98965,                0.72414,                0.89386,                0.42618,                  1.225,             0.00031109,             0.00031109,             0.00031109
                     59,                0.80078,                0.60477,                 1.1466,                0.98606,                0.98864,                  0.991,                0.74725,                  0.861,                0.40364,                  1.194,             0.00030402,             0.00030402,             0.00030402
                     60,                0.78956,                0.59522,                 1.1421,                0.98399,                0.98881,                0.99062,                 0.7105,                0.93332,                0.42307,                 1.2368,             0.00029695,             0.00029695,             0.00029695
                     61,                0.79361,                0.59917,                 1.1356,                0.98177,                0.98427,                0.98984,                0.70525,                0.92455,                0.43077,                 1.2336,             0.00028988,             0.00028988,             0.00028988
                     62,                0.79015,                 0.5948,                 1.1388,                 0.9857,                0.98724,                0.99178,                0.72505,                0.90245,                0.40872,                 1.2182,             0.00028282,             0.00028282,             0.00028282
                     63,                0.78415,                0.58652,                 1.1329,                 0.9861,                0.98641,                0.99067,                 0.7173,                0.92652,                0.42193,                 1.2414,             0.00027575,             0.00027575,             0.00027575
                     64,                0.79034,                0.58414,                 1.1361,                0.97896,                0.98502,                0.99078,                0.71268,                 0.9458,                0.42873,                  1.241,             0.00026868,             0.00026868,             0.00026868
                     65,                0.77351,                0.58578,                 1.1276,                0.97872,                0.98848,                0.99115,                0.74008,                0.87106,                0.41409,                 1.1924,             0.00026161,             0.00026161,             0.00026161
                     66,                0.77637,                0.58147,                 1.1207,                0.98336,                0.98038,                0.98763,                0.73228,                0.88526,                 0.4138,                 1.1968,             0.00025454,             0.00025454,             0.00025454
                     67,                0.76678,                0.57763,                 1.1231,                0.97458,                0.98027,                0.98826,                0.71611,                0.92104,                0.42766,                 1.2203,             0.00024747,             0.00024747,             0.00024747
                     68,                0.77594,                0.58135,                 1.1265,                0.98503,                0.98492,                0.99199,                0.73293,                0.89006,                0.40713,                 1.1962,              0.0002404,              0.0002404,              0.0002404
                     69,                0.76832,                0.57605,                 1.1229,                0.96694,                0.96888,                0.98648,                0.72526,                0.88717,                0.41993,                 1.1924,             0.00023334,             0.00023334,             0.00023334
                     70,                0.76961,                0.57506,                 1.1215,                0.98297,                0.98548,                0.98879,                  0.719,                0.90626,                0.41363,                  1.213,             0.00022627,             0.00022627,             0.00022627
