                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.85437,                 0.5441,                0.81586,                0.89939,                0.81276,                0.91955,                0.72363,                0.71362,                0.42007,                0.80081,               0.006436,               0.006436,               0.006436
                     38,                 0.8533,                0.54498,                0.81505,                 0.9007,                0.81366,                0.92002,                0.72473,                 0.7117,                0.41833,                0.80045,               0.006337,               0.006337,               0.006337
                     39,                0.84367,                0.53741,                0.81453,                0.90156,                0.81647,                0.92189,                0.72831,                0.70715,                 0.4153,                 0.8001,               0.006238,               0.006238,               0.006238
                     40,                0.84531,                0.53939,                0.81356,                0.90115,                0.81896,                0.92272,                0.72975,                0.70529,                0.41289,                0.79983,               0.006139,               0.006139,               0.006139
                     41,                0.84438,                0.53643,                0.81473,                0.89838,                0.82139,                0.92253,                0.72903,                0.70523,                0.41126,                0.79972,                0.00604,                0.00604,                0.00604
                     42,                0.84141,                0.53368,                0.81431,                0.89843,                 0.8232,                0.92303,                0.73004,                0.70319,                0.40974,                0.79958,               0.005941,               0.005941,               0.005941
                     43,                0.83893,                0.53209,                0.81421,                0.89846,                0.82583,                0.92366,                 0.7315,                0.70253,                0.40837,                0.79951,               0.005842,               0.005842,               0.005842
                     44,                0.83975,                0.53083,                0.81381,                 0.9026,                 0.8235,                 0.9244,                0.73292,                0.69998,                0.40667,                0.79945,               0.005743,               0.005743,               0.005743
                     45,                0.83041,                0.52414,                0.81111,                0.90204,                  0.824,                0.92501,                 0.7333,                0.69888,                0.40585,                0.79935,               0.005644,               0.005644,               0.005644
                     46,                0.83507,                0.52623,                0.81301,                0.90089,                0.82691,                0.92601,                0.73479,                0.69732,                0.40461,                0.79925,               0.005545,               0.005545,               0.005545
                     47,                0.83039,                 0.5232,                0.81277,                0.89962,                0.82916,                0.92686,                0.73617,                0.69581,                0.40348,                0.79919,               0.005446,               0.005446,               0.005446
                     48,                0.82765,                0.52167,                0.81263,                0.89903,                0.82945,                0.92691,                0.73649,                0.69517,                0.40294,                0.79897,               0.005347,               0.005347,               0.005347
                     49,                0.82316,                0.51896,                0.81161,                0.89903,                0.82959,                0.92714,                 0.7373,                0.69316,                0.40193,                0.79886,               0.005248,               0.005248,               0.005248
                     50,                0.82317,                 0.5176,                0.81278,                0.89899,                0.82986,                0.92762,                0.73754,                0.69267,                0.40186,                0.79864,               0.005149,               0.005149,               0.005149
                     51,                0.82316,                0.51763,                0.81096,                0.90184,                0.82876,                0.92783,                0.73757,                0.69233,                0.40142,                0.79855,                0.00505,                0.00505,                0.00505
                     52,                0.81776,                0.50958,                 0.8109,                0.90247,                0.82947,                0.92824,                 0.7378,                0.69247,                0.40128,                 0.7984,               0.004951,               0.004951,               0.004951
                     53,                0.81684,                0.50945,                 0.8113,                0.90285,                0.83012,                 0.9287,                0.73878,                0.69071,                0.39972,                0.79831,               0.004852,               0.004852,               0.004852
                     54,                 0.8187,                0.51052,                0.81092,                 0.9038,                0.83085,                0.92881,                0.73923,                0.68986,                0.39931,                0.79829,               0.004753,               0.004753,               0.004753
                     55,                0.81184,                0.50721,                0.80892,                0.90331,                0.83143,                0.92912,                 0.7398,                0.68873,                0.39856,                0.79819,               0.004654,               0.004654,               0.004654
                     56,                0.80991,                 0.5038,                0.80988,                0.90536,                0.83098,                0.92931,                0.74022,                 0.6872,                0.39758,                0.79809,               0.004555,               0.004555,               0.004555
                     57,                0.80813,                0.50205,                0.80961,                0.90435,                0.83168,                0.92932,                0.74059,                0.68671,                0.39729,                0.79803,               0.004456,               0.004456,               0.004456
                     58,                0.80395,                0.49828,                0.80933,                0.90471,                0.83193,                0.92937,                0.74035,                0.68673,                0.39669,                  0.798,               0.004357,               0.004357,               0.004357
                     59,                0.79999,                0.49538,                0.80804,                 0.9047,                0.83207,                0.92941,                0.74023,                0.68629,                0.39645,                0.79787,               0.004258,               0.004258,               0.004258
                     60,                0.79865,                0.49465,                0.80732,                0.90554,                0.83147,                 0.9296,                0.74057,                0.68607,                 0.3961,                0.79774,               0.004159,               0.004159,               0.004159
                     61,                0.79878,                0.49537,                0.80863,                0.90688,                 0.8316,                0.92998,                0.74085,                0.68572,                0.39544,                0.79772,                0.00406,                0.00406,                0.00406
