                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7152,                 7.8069,                 6.3164,                      0,                      0,                      0,                      0,                 3.1101,                 6.0123,                 4.1593,               7.69e-06,               7.69e-06,               7.69e-06
                      2,                 3.4484,                 5.8942,                 4.9309,                      0,                      0,                      0,                      0,                 3.1101,                 6.0115,                 4.1597,             2.2842e-05,             2.2842e-05,             2.2842e-05
                      3,                 3.0211,                 6.4818,                 5.0779,                      0,                      0,                      0,                      0,                 3.1101,                  6.011,                 4.1601,             3.7689e-05,             3.7689e-05,             3.7689e-05
                      4,                  3.886,                 5.6364,                 4.7755,                      0,                      0,                      0,                      0,                   3.11,                 6.0115,                 4.1605,             5.2231e-05,             5.2231e-05,             5.2231e-05
                      5,                 4.2404,                 7.6297,                 5.2157,                      0,                      0,                      0,                      0,                 3.1099,                 6.0136,                 4.1609,             6.6469e-05,             6.6469e-05,             6.6469e-05
                      6,                 4.3542,                 8.8768,                 5.1452,                      0,                      0,                      0,                      0,                 3.1098,                 6.0146,                 4.1615,             8.0403e-05,             8.0403e-05,             8.0403e-05
                      7,                 3.3711,                  5.447,                  4.852,                      0,                      0,                      0,                      0,                 3.1096,                 6.0152,                 4.1621,             9.4032e-05,             9.4032e-05,             9.4032e-05
                      8,                 4.4692,                 5.6197,                 4.9783,                      0,                      0,                      0,                      0,                 3.1094,                 6.0181,                 4.1628,             0.00010736,             0.00010736,             0.00010736
                      9,                 3.4078,                 5.1051,                 4.9146,                      0,                      0,                      0,                      0,                 3.1093,                  6.019,                 4.1632,             0.00012038,             0.00012038,             0.00012038
                     10,                 3.8154,                   5.28,                 4.9821,                      0,                      0,                      0,                      0,                  3.109,                 6.0216,                 4.1638,             0.00013309,             0.00013309,             0.00013309
                     11,                 3.4711,                 5.5721,                 4.6614,                      0,                      0,                      0,                      0,                 3.1087,                 6.0244,                 4.1646,              0.0001455,              0.0001455,              0.0001455
                     12,                 3.3239,                 4.8606,                 4.4745,                      0,                      0,                      0,                      0,                 3.1083,                 6.0278,                 4.1655,             0.00015761,             0.00015761,             0.00015761
                     13,                 3.5289,                 5.6906,                 4.5527,                      0,                      0,                      0,                      0,                 3.1079,                 6.0312,                 4.1665,             0.00016941,             0.00016941,             0.00016941
