                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6116,                0.42883,                0.93812,                0.86252,                0.84066,                0.92351,                0.76377,                0.70013,                0.51264,                0.87161,               0.006436,               0.006436,               0.006436
                     38,                0.60855,                0.42395,                0.93782,                0.85768,                0.84362,                0.92465,                0.76755,                0.68783,                 0.5103,                0.86742,               0.006337,               0.006337,               0.006337
                     39,                0.61053,                0.42696,                0.93647,                0.86043,                0.83947,                0.92312,                0.76528,                 0.7065,                0.51074,                0.87233,               0.006238,               0.006238,               0.006238
                     40,                0.60199,                0.42125,                0.93187,                0.86021,                0.84244,                0.92718,                0.77503,                0.67521,                0.49532,                0.86302,               0.006139,               0.006139,               0.006139
                     41,                0.59882,                0.42166,                0.93346,                 0.8546,                0.85053,                0.92339,                0.77303,                0.66684,                0.49607,                0.86013,                0.00604,                0.00604,                0.00604
                     42,                0.59826,                0.42167,                0.93225,                0.89344,                 0.8288,                0.92974,                0.77525,                0.67355,                0.49272,                0.86364,               0.005941,               0.005941,               0.005941
                     43,                0.59335,                0.41274,                0.92931,                0.86981,                0.83637,                0.92826,                0.78122,                0.66148,                0.48872,                0.85813,               0.005842,               0.005842,               0.005842
                     44,                0.58963,                0.41028,                0.92719,                0.87102,                0.84321,                0.92851,                0.77981,                0.66863,                0.48509,                0.85978,               0.005743,               0.005743,               0.005743
                     45,                0.58823,                0.40897,                0.92487,                0.87483,                0.84193,                0.92995,                0.77882,                0.67437,                0.48658,                0.86074,               0.005644,               0.005644,               0.005644
                     46,                0.58501,                0.40685,                0.92723,                0.86686,                0.85462,                0.92913,                0.77689,                0.67848,                 0.4822,                0.86173,               0.005545,               0.005545,               0.005545
                     47,                0.57805,                0.39966,                0.92221,                 0.8633,                0.85039,                0.92853,                0.77848,                0.66998,                0.48318,                0.85834,               0.005446,               0.005446,               0.005446
                     48,                0.57731,                0.40244,                0.92053,                0.85107,                0.86202,                0.93156,                0.78304,                0.66793,                0.47707,                0.85787,               0.005347,               0.005347,               0.005347
                     49,                0.58041,                0.39926,                0.92389,                0.87048,                0.86685,                0.93568,                0.78516,                0.67324,                0.46922,                 0.8593,               0.005248,               0.005248,               0.005248
                     50,                 0.5735,                0.39744,                0.92205,                0.87286,                0.85902,                0.93569,                0.78903,                0.65971,                0.46438,                0.85589,               0.005149,               0.005149,               0.005149
                     51,                0.57582,                0.39691,                0.92135,                0.87649,                0.85751,                0.93198,                0.78726,                0.64971,                 0.4637,                0.85406,                0.00505,                0.00505,                0.00505
                     52,                0.56964,                0.39464,                0.92121,                0.87263,                0.86364,                0.93179,                0.78058,                0.67241,                0.46797,                0.85745,               0.004951,               0.004951,               0.004951
                     53,                0.57052,                0.39055,                0.91795,                0.86202,                 0.8662,                0.93032,                 0.7809,                0.67039,                0.46868,                0.85673,               0.004852,               0.004852,               0.004852
                     54,                0.56638,                0.38943,                0.91484,                0.87251,                0.84878,                0.93213,                0.78415,                 0.6636,                0.46758,                0.85568,               0.004753,               0.004753,               0.004753
                     55,                0.56517,                 0.3922,                0.91686,                0.87362,                0.85287,                0.93534,                0.79122,                0.65527,                0.46154,                0.85426,               0.004654,               0.004654,               0.004654
                     56,                 0.5618,                0.38349,                0.91564,                0.86413,                0.85618,                0.93641,                0.79359,                0.64975,                0.45836,                0.85211,               0.004555,               0.004555,               0.004555
                     57,                0.56003,                0.38274,                0.91534,                0.85915,                0.87044,                0.93681,                0.79397,                0.64725,                0.45081,                0.85136,               0.004456,               0.004456,               0.004456
                     58,                0.55575,                0.38089,                0.91196,                0.85757,                0.86666,                0.93725,                0.79388,                0.64683,                 0.4509,                0.85193,               0.004357,               0.004357,               0.004357
                     59,                0.55872,                 0.3817,                0.91535,                0.85369,                0.87363,                0.93586,                0.79111,                 0.6488,                0.45533,                0.85193,               0.004258,               0.004258,               0.004258
                     60,                0.55677,                0.38216,                0.91396,                0.86882,                0.85339,                0.93537,                0.79203,                0.65064,                0.45322,                0.85229,               0.004159,               0.004159,               0.004159
                     61,                 0.5525,                0.37512,                 0.9133,                0.86496,                0.85366,                0.93453,                0.79222,                0.65038,                0.45265,                0.85116,                0.00406,                0.00406,                0.00406
                     62,                0.54875,                0.37355,                0.91059,                0.86945,                0.85429,                0.93557,                0.79228,                0.64912,                0.44865,                0.85117,               0.003961,               0.003961,               0.003961
                     63,                0.54883,                0.37416,                0.90967,                0.87402,                0.85611,                0.93648,                0.79257,                0.65187,                0.44553,                0.85127,               0.003862,               0.003862,               0.003862
                     64,                0.54613,                0.37082,                0.90766,                0.87481,                0.85937,                0.93689,                0.79302,                0.64759,                0.44357,                0.85017,               0.003763,               0.003763,               0.003763
                     65,                0.54485,                0.36581,                0.90698,                0.86423,                  0.871,                0.93765,                0.79656,                0.64657,                0.44208,                0.84959,               0.003664,               0.003664,               0.003664
                     66,                0.54054,                0.36462,                0.90524,                 0.8852,                0.85502,                0.93871,                0.79713,                0.64046,                0.43932,                0.84802,               0.003565,               0.003565,               0.003565
                     67,                0.54223,                0.36508,                0.90853,                0.89007,                 0.8563,                0.93879,                0.79759,                0.64027,                0.43895,                0.84758,               0.003466,               0.003466,               0.003466
                     68,                0.53845,                0.36495,                0.90567,                0.89041,                0.85316,                0.93904,                0.79861,                0.63977,                0.43829,                0.84718,               0.003367,               0.003367,               0.003367
                     69,                0.53959,                0.36336,                0.90676,                0.89006,                0.85558,                0.93949,                0.79842,                0.64043,                0.43725,                0.84757,               0.003268,               0.003268,               0.003268
                     70,                0.53557,                0.36232,                0.90565,                0.87917,                0.86492,                0.93939,                0.79717,                0.64266,                0.43726,                0.84824,               0.003169,               0.003169,               0.003169
                     71,                 0.5358,                0.36091,                0.90481,                0.86591,                0.87035,                0.93945,                0.79891,                0.63928,                0.43594,                0.84781,                0.00307,                0.00307,                0.00307
                     72,                0.53166,                0.35875,                0.90315,                0.85772,                 0.8826,                0.93992,                0.79958,                0.64089,                0.43592,                0.84819,               0.002971,               0.002971,               0.002971
                     73,                0.52994,                0.35393,                0.90176,                0.86692,                0.87882,                0.93961,                0.79694,                0.64393,                0.43587,                0.84859,               0.002872,               0.002872,               0.002872
                     74,                0.53216,                0.35865,                0.90284,                0.86447,                0.88272,                0.94093,                0.79907,                0.64286,                0.43671,                0.84829,               0.002773,               0.002773,               0.002773
                     75,                0.52576,                0.35063,                0.89946,                0.86096,                0.88647,                0.94014,                  0.799,                0.64212,                0.43589,                0.84822,               0.002674,               0.002674,               0.002674
                     76,                0.52709,                0.35328,                0.90018,                0.86566,                0.88114,                0.94045,                0.79967,                0.63957,                0.43572,                0.84748,               0.002575,               0.002575,               0.002575
                     77,                0.52536,                0.35235,                0.89956,                0.87526,                0.87453,                0.94063,                 0.8008,                0.63813,                0.43422,                0.84674,               0.002476,               0.002476,               0.002476
                     78,                0.52524,                0.35207,                0.90099,                0.87751,                0.87331,                0.94042,                0.80161,                0.63864,                0.43373,                0.84668,               0.002377,               0.002377,               0.002377
                     79,                0.52262,                0.34973,                0.89855,                0.88041,                0.87045,                0.94065,                0.80146,                0.63774,                0.43277,                0.84663,               0.002278,               0.002278,               0.002278
                     80,                0.51662,                0.34346,                0.89661,                0.87856,                0.87155,                0.94075,                 0.8026,                0.63734,                0.43211,                0.84641,               0.002179,               0.002179,               0.002179
                     81,                0.51589,                0.34461,                0.89507,                0.87988,                0.86893,                0.94083,                 0.8033,                0.63532,                0.43142,                0.84608,                0.00208,                0.00208,                0.00208
                     82,                0.51619,                0.34553,                0.89596,                0.88231,                0.86679,                0.94117,                 0.8042,                0.63483,                0.43036,                 0.8459,               0.001981,               0.001981,               0.001981
                     83,                0.51308,                0.34169,                 0.8955,                0.88243,                0.86834,                0.94139,                0.80347,                0.63523,                0.42999,                0.84599,               0.001882,               0.001882,               0.001882
                     84,                0.51199,                 0.3377,                0.89606,                0.88279,                0.86711,                0.94186,                0.80373,                0.63684,                0.42971,                0.84622,               0.001783,               0.001783,               0.001783
