                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2595,                 3.4044,                 2.4449,                0.40401,                0.41652,                0.43215,                0.30927,                 1.1726,                 1.8144,                 1.4466,             0.00025616,             0.00025616,             0.00025616
                      2,                 1.2851,                 1.8009,                 1.4044,                0.71509,                 0.7024,                0.76068,                0.57197,                 0.9727,                 1.1332,                 1.2135,             0.00048712,             0.00048712,             0.00048712
                      3,                 1.1471,                 1.2688,                 1.2759,                0.81721,                 0.7878,                0.85757,                 0.6956,                0.81875,                0.82416,                 1.0866,             0.00069271,             0.00069271,             0.00069271
                      4,                 1.0348,                0.99749,                 1.1949,                0.86852,                0.84988,                0.90218,                0.74944,                0.70893,                0.64572,                 1.0305,              0.0006548,              0.0006548,              0.0006548
                      5,                0.93835,                0.84769,                 1.1356,                0.88274,                0.85218,                0.91276,                0.78011,                0.64823,                0.58492,                0.98924,             0.00061674,             0.00061674,             0.00061674
                      6,                0.88339,                0.76034,                  1.103,                0.91632,                0.86484,                0.93243,                0.80449,                 0.6073,                0.53359,                0.96993,             0.00057867,             0.00057867,             0.00057867
                      7,                0.84394,                0.70354,                 1.0815,                0.92859,                0.85938,                0.93722,                0.81046,                0.59389,                0.49911,                0.96575,             0.00054061,             0.00054061,             0.00054061
                      8,                0.81445,                0.66282,                 1.0632,                 0.9129,                0.87431,                0.93463,                 0.8144,                0.57466,                0.48198,                0.94879,             0.00050254,             0.00050254,             0.00050254
                      9,                0.78705,                0.63121,                  1.046,                0.91262,                0.87389,                0.94023,                0.82451,                0.55971,                0.46107,                 0.9372,             0.00046448,             0.00046448,             0.00046448
                     10,                0.76355,                0.60144,                 1.0316,                0.93051,                0.87848,                 0.9479,                 0.8355,                0.54499,                0.43744,                0.93415,             0.00042641,             0.00042641,             0.00042641
                     11,                0.75881,                0.54449,                 1.0738,                0.93505,                0.88458,                0.95069,                0.83912,                0.52661,                0.42425,                0.92847,             0.00038835,             0.00038835,             0.00038835
                     12,                0.72125,                0.52509,                 1.0502,                0.94059,                0.88616,                0.95152,                 0.8437,                0.51682,                0.40868,                0.92408,             0.00035028,             0.00035028,             0.00035028
                     13,                0.68908,                0.50254,                 1.0326,                0.93546,                0.88573,                0.95259,                0.84685,                0.50568,                0.39749,                0.92029,             0.00031221,             0.00031221,             0.00031221
                     14,                0.67062,                0.48414,                 1.0226,                0.94403,                0.88201,                0.95535,                0.85296,                0.49935,                0.38922,                0.91623,             0.00027415,             0.00027415,             0.00027415
                     15,                0.66025,                0.47317,                 1.0161,                0.93578,                0.88977,                0.95729,                0.85388,                 0.4929,                0.38397,                0.91296,             0.00023608,             0.00023608,             0.00023608
                     16,                0.64756,                 0.4623,                 1.0112,                0.93005,                0.90237,                0.96047,                0.85976,                0.48244,                0.36656,                0.90851,             0.00019802,             0.00019802,             0.00019802
                     17,                0.63331,                0.44687,                 1.0027,                0.93386,                0.90165,                  0.961,                0.86045,                0.48246,                0.36212,                0.90895,             0.00015995,             0.00015995,             0.00015995
                     18,                0.62061,                0.43611,                0.99517,                 0.9325,                0.89949,                0.96043,                 0.8616,                0.47589,                0.35985,                 0.9068,             0.00012189,             0.00012189,             0.00012189
                     19,                0.60928,                0.42724,                0.98932,                0.93244,                 0.9011,                0.96309,                0.86391,                0.46904,                0.35169,                 0.9043,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     20,                0.59981,                 0.4176,                0.98638,                0.93285,                0.90256,                0.96308,                 0.8644,                0.46799,                0.34819,                0.90292,             4.5756e-05,             4.5756e-05,             4.5756e-05
