                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.53172,                0.38376,                0.90991,                 0.9363,                0.93558,                  0.976,                0.90058,                0.39052,                0.26591,                 0.8711,               0.006436,               0.006436,               0.006436
                     38,                0.53011,                0.38077,                0.90814,                 0.9435,                 0.9284,                0.97583,                0.90082,                0.38973,                0.26491,                0.87113,               0.006337,               0.006337,               0.006337
                     39,                0.53164,                0.38242,                0.91021,                0.95314,                0.92146,                 0.9765,                0.90119,                0.38962,                0.26313,                  0.871,               0.006238,               0.006238,               0.006238
                     40,                0.52724,                0.38099,                 0.9049,                 0.9563,                0.91991,                0.97655,                0.90166,                0.38863,                0.26284,                0.87004,               0.006139,               0.006139,               0.006139
                     41,                0.52659,                0.37775,                0.90601,                0.95506,                0.92089,                0.97697,                0.90176,                0.38884,                0.26168,                0.86987,                0.00604,                0.00604,                0.00604
                     42,                0.52494,                0.37636,                0.90345,                0.95449,                0.92327,                 0.9773,                0.90224,                0.38871,                0.26061,                 0.8698,               0.005941,               0.005941,               0.005941
                     43,                0.52075,                0.37416,                0.90315,                0.95317,                0.92373,                0.97726,                0.90194,                 0.3881,                0.25983,                0.86978,               0.005842,               0.005842,               0.005842
                     44,                 0.5228,                0.37542,                0.90297,                0.95343,                0.92459,                 0.9772,                0.90251,                 0.3878,                0.25909,                0.86945,               0.005743,               0.005743,               0.005743
                     45,                0.51993,                0.37352,                0.90187,                0.95323,                0.92576,                0.97751,                0.90247,                0.38758,                0.25845,                0.86921,               0.005644,               0.005644,               0.005644
                     46,                 0.5182,                0.36815,                0.90334,                0.95308,                 0.9259,                0.97741,                0.90248,                0.38733,                0.25811,                0.86897,               0.005545,               0.005545,               0.005545
                     47,                0.51442,                0.36647,                0.90143,                0.95076,                0.92777,                0.97746,                0.90251,                 0.3863,                0.25776,                0.86879,               0.005446,               0.005446,               0.005446
                     48,                0.51572,                0.36729,                0.90113,                0.96139,                0.92098,                0.97762,                0.90298,                0.38555,                0.25679,                0.86876,               0.005347,               0.005347,               0.005347
                     49,                0.51455,                0.36593,                0.90092,                0.96271,                0.91907,                0.97772,                0.90335,                0.38499,                0.25618,                0.86861,               0.005248,               0.005248,               0.005248
                     50,                0.51025,                0.36258,                0.89688,                0.96242,                0.92042,                0.97783,                0.90345,                0.38466,                0.25563,                0.86874,               0.005149,               0.005149,               0.005149
                     51,                0.50763,                0.36168,                0.89509,                0.96247,                0.91969,                0.97793,                0.90386,                0.38415,                0.25546,                0.86855,                0.00505,                0.00505,                0.00505
                     52,                0.50565,                0.35873,                 0.8964,                0.96202,                0.92122,                0.97798,                 0.9038,                0.38365,                 0.2549,                0.86838,               0.004951,               0.004951,               0.004951
                     53,                 0.5035,                0.35502,                0.89627,                0.96251,                0.92085,                0.97813,                 0.9041,                0.38337,                0.25452,                0.86823,               0.004852,               0.004852,               0.004852
