                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3605,                 6.7534,                 3.7086,                0.03525,                0.08028,                 0.0276,                0.00965,                 2.5044,                 3.8079,                 2.6533,              0.0033269,              0.0033269,              0.0033269
                      2,                 2.3699,                 4.1721,                 2.1209,                0.22475,                0.40119,                0.19181,                0.07632,                 2.2256,                 3.2106,                 2.2677,              0.0065943,              0.0065943,              0.0065943
                      3,                 2.1581,                 3.4988,                 1.8444,                0.16864,                0.29335,                0.15159,                0.05044,                 2.3407,                 3.2365,                  2.163,              0.0097957,              0.0097957,              0.0097957
                      4,                 2.0079,                 2.9448,                 1.7118,                0.33309,                 0.4096,                0.29305,                 0.1197,                 2.0171,                  2.591,                 1.8442,               0.009703,               0.009703,               0.009703
                      5,                 1.9382,                 2.5622,                 1.6174,                0.50352,                0.43099,                0.41356,                0.17481,                 1.9507,                 2.3296,                 1.7395,               0.009604,               0.009604,               0.009604
                      6,                 1.8713,                 2.3252,                  1.568,                0.58495,                0.46172,                0.48322,                0.20747,                 1.8774,                 2.2269,                 1.7312,               0.009505,               0.009505,               0.009505
                      7,                 1.8535,                 2.1814,                 1.5427,                0.62202,                0.51366,                0.55835,                0.24264,                 1.8118,                 2.1655,                 1.6365,               0.009406,               0.009406,               0.009406
                      8,                  1.811,                  2.057,                 1.5287,                0.68582,                0.59837,                0.64165,                0.28212,                 1.8284,                 2.1527,                 1.6679,               0.009307,               0.009307,               0.009307
                      9,                  1.791,                 1.9621,                 1.5018,                0.66529,                0.61037,                0.65013,                0.28937,                 1.8232,                  1.906,                 1.6248,               0.009208,               0.009208,               0.009208
                     10,                 1.7724,                 1.8866,                 1.4837,                0.72619,                0.60562,                0.65894,                0.30406,                 1.7947,                 2.1904,                 1.6021,               0.009109,               0.009109,               0.009109
                     11,                 1.7481,                 1.8127,                 1.4771,                0.75372,                 0.6157,                0.69113,                0.30801,                 1.7378,                 1.7271,                 1.5862,                0.00901,                0.00901,                0.00901
                     12,                 1.7285,                  1.757,                  1.459,                0.75413,                0.59327,                0.66539,                0.29079,                   1.72,                 1.6971,                 1.5353,               0.008911,               0.008911,               0.008911
                     13,                 1.7204,                 1.7091,                 1.4577,                0.76339,                0.65346,                0.71667,                0.31946,                 1.7095,                 1.6337,                 1.5666,               0.008812,               0.008812,               0.008812
                     14,                 1.7044,                 1.6627,                 1.4395,                  0.717,                0.63469,                0.70405,                0.31846,                 1.6939,                 1.5797,                 1.5342,               0.008713,               0.008713,               0.008713
                     15,                  1.692,                 1.6014,                 1.4309,                0.79736,                0.66485,                0.74445,                0.36454,                 1.6402,                  1.514,                 1.4799,               0.008614,               0.008614,               0.008614
                     16,                 1.6717,                   1.57,                 1.4279,                0.79654,                 0.6675,                0.74288,                0.33862,                 1.6813,                 1.5423,                 1.5171,               0.008515,               0.008515,               0.008515
                     17,                  1.671,                 1.5354,                 1.4146,                0.81582,                0.72906,                0.78318,                0.38219,                 1.5739,                 1.4405,                 1.4689,               0.008416,               0.008416,               0.008416
                     18,                 1.6517,                 1.4915,                 1.4073,                0.81703,                0.70506,                0.75257,                0.34503,                 1.5971,                 1.4657,                   1.47,               0.008317,               0.008317,               0.008317
                     19,                 1.6449,                 1.4724,                 1.4015,                0.84836,                0.70073,                0.78788,                0.36921,                 1.6113,                 1.4189,                 1.4699,               0.008218,               0.008218,               0.008218
                     20,                 1.6297,                 1.4635,                 1.3944,                0.84313,                0.73883,                 0.7881,                 0.3801,                 1.5839,                 1.3786,                 1.4654,               0.008119,               0.008119,               0.008119
                     21,                 1.6249,                 1.4338,                 1.3857,                0.79781,                0.73053,                0.78393,                0.39454,                 1.5305,                 1.3685,                 1.4317,                0.00802,                0.00802,                0.00802
                     22,                 1.6167,                 1.4151,                 1.3773,                0.85978,                0.73535,                0.81191,                0.41502,                 1.5026,                 1.3106,                  1.409,               0.007921,               0.007921,               0.007921
                     23,                 1.6001,                 1.4086,                 1.3823,                0.86412,                0.73549,                0.81548,                0.41867,                 1.5095,                 1.3198,                 1.4102,               0.007822,               0.007822,               0.007822
                     24,                 1.5933,                 1.3869,                 1.3701,                0.85533,                0.74954,                0.81283,                0.40229,                 1.5081,                 1.2928,                 1.4137,               0.007723,               0.007723,               0.007723
                     25,                   1.59,                 1.3413,                 1.3588,                0.85567,                0.74605,                0.81524,                0.39201,                 1.5024,                 1.2871,                 1.4055,               0.007624,               0.007624,               0.007624
                     26,                 1.5759,                 1.3166,                 1.3583,                0.86478,                0.76409,                0.81321,                0.40001,                 1.4932,                 1.2634,                 1.3852,               0.007525,               0.007525,               0.007525
